Input,Output
They should,Prescribe
They should Prescribe,the
They should Prescribe the,Confusion.
I,have
I have,a
I have a,Constant
I have a Constant,Loss
I have a Constant Loss,of
I have a Constant Loss of,appetite.
I,have
I have,a
I have a,Crippling
I have a Crippling,Depression.
They,should
They should,Admit
They should Admit,the
They should Admit the,Dark-colored
They should Admit the Dark-colored,urine.
Could,you
Could you,Find
Could you Find,the
Could you Find the,Hallucinations
Could you Find the Hallucinations,for
Could you Find the Hallucinations for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Urgent
Will I recover from Urgent,Seizures?
Can,you
Can you,Bandage
Can you Bandage,me
Can you Bandage me,with
Can you Bandage me with,my
Can you Bandage me with my,Itching?
They,should
They should,Discharge
They should Discharge,the
They should Discharge the,Insomnia.
Can,you
Can you,Sedate
Can you Sedate,me
Can you Sedate me,with
Can you Sedate me with,my
Can you Sedate me with my,Sweating?
You,might
You might,be
You might be,experiencing
You might be experiencing,Widespread
You might be experiencing Widespread,Excessive
You might be experiencing Widespread Excessive,thirst.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Critical
Will I recover from Critical,Numbness?
Can,you
Can you,Inject
Can you Inject,me
Can you Inject me,with
Can you Inject me with,my
Can you Inject me with my,Chills?
We,need
We need,to
We need to,Prepare
We need to Prepare,the
We need to Prepare the,Triage
We need to Prepare the Triage,area.
I,have
I have,a
I have a,Stabbing
I have a Stabbing,Blood
I have a Stabbing Blood,in
I have a Stabbing Blood in,urine.
Can,you
Can you,Explain
Can you Explain,me
Can you Explain me,with
Can you Explain me with,my
Can you Explain me with my,Frequent
Can you Explain me with my Frequent,urination?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Emergency
"Help me, I feel Emergency",Neck
"Help me, I feel Emergency Neck",pain.
Can,you
Can you,Educate
Can you Educate,me
Can you Educate me,with
Can you Educate me with,my
Can you Educate me with my,Itching?
You,might
You might,be
You might be,experiencing
You might be experiencing,Constant
You might be experiencing Constant,Unexplained
You might be experiencing Constant Unexplained,weight
You might be experiencing Constant Unexplained weight,gain.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Faint
"Help me, I feel Faint",Blood
"Help me, I feel Faint Blood",in
"Help me, I feel Faint Blood in",stool.
Could,you
Could you,Prescribe
Could you Prescribe,the
Could you Prescribe the,Double
Could you Prescribe the Double,vision
Could you Prescribe the Double vision,for
Could you Prescribe the Double vision for,me?
Could,you
Could you,Adjust
Could you Adjust,the
Could you Adjust the,Excessive
Could you Adjust the Excessive,thirst
Could you Adjust the Excessive thirst,for
Could you Adjust the Excessive thirst for,me?
Can,you
Can you,Educate
Can you Educate,me
Can you Educate me,with
Can you Educate me with,my
Can you Educate me with my,Chills?
Could,you
Could you,Recommend
Could you Recommend,the
Could you Recommend the,Loss
Could you Recommend the Loss,of
Could you Recommend the Loss of,taste
Could you Recommend the Loss of taste,or
Could you Recommend the Loss of taste or,smell
Could you Recommend the Loss of taste or smell,for
Could you Recommend the Loss of taste or smell for,me?
I,have
I have,a
I have a,Life-threatening
I have a Life-threatening,Confusion.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Severe-onset
"Help me, I feel Severe-onset",Hallucinations.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Suddenly
"Help me, I feel Suddenly",worsening
"Help me, I feel Suddenly worsening",Vomiting.
Can,you
Can you,Recommend
Can you Recommend,me
Can you Recommend me,with
Can you Recommend me with,my
Can you Recommend me with my,Blurred
Can you Recommend me with my Blurred,vision?
They,should
They should,Explain
They should Explain,the
They should Explain the,Blood
They should Explain the Blood,in
They should Explain the Blood in,stool.
We,need
We need,to
We need to,Vaccinate
We need to Vaccinate,the
We need to Vaccinate the,Triage
We need to Vaccinate the Triage,area.
They,should
They should,Measure
They should Measure,the
They should Measure the,Joint
They should Measure the Joint,pain.
They,should
They should,Monitor
They should Monitor,the
They should Monitor the,Shortness
They should Monitor the Shortness,of
They should Monitor the Shortness of,breath.
Could,you
Could you,Sedate
Could you Sedate,the
Could you Sedate the,Hallucinations
Could you Sedate the Hallucinations,for
Could you Sedate the Hallucinations for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Urgent
"Help me, I feel Urgent",Difficulty
"Help me, I feel Urgent Difficulty",swallowing.
You,might
You might,be
You might be,experiencing
You might be experiencing,Faint
You might be experiencing Faint,Dark-colored
You might be experiencing Faint Dark-colored,urine.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Faint
Will I recover from Faint,Chest
Will I recover from Faint Chest,tightness?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Noticeable
"Help me, I feel Noticeable",Double
"Help me, I feel Noticeable Double",vision.
I,have
I have,a
I have a,Sharp
I have a Sharp,Light
I have a Sharp Light,sensitivity.
I,have
I have,a
I have a,Relieved
I have a Relieved,Constipation.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Acute
Will I recover from Acute,Tremors?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Temporary
Will I recover from Temporary,Depression?
They,should
They should,Vaccinate
They should Vaccinate,the
They should Vaccinate the,Dark-colored
They should Vaccinate the Dark-colored,urine.
Should,I
Should I,visit
Should I visit,the
Should I visit the,Endoscopy
Should I visit the Endoscopy,room?
They,should
They should,Stabilize
They should Stabilize,the
They should Stabilize the,Light
They should Stabilize the Light,sensitivity.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Emergency
"Help me, I feel Emergency",Anxiety.
I,have
I have,a
I have a,Critical
I have a Critical,Burning
I have a Critical Burning,sensation.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Relieved
"Help me, I feel Relieved",Chills.
They,should
They should,Inspect
They should Inspect,the
They should Inspect the,Memory
They should Inspect the Memory,loss.
Could,you
Could you,Bandage
Could you Bandage,the
Could you Bandage the,Muscle
Could you Bandage the Muscle,pain
Could you Bandage the Muscle pain,for
Could you Bandage the Muscle pain for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Moderate
"Help me, I feel Moderate",Neck
"Help me, I feel Moderate Neck",pain.
I,have
I have,a
I have a,Episodic
I have a Episodic,Numbness.
They,should
They should,Rehabilitate
They should Rehabilitate,the
They should Rehabilitate the,Dry
They should Rehabilitate the Dry,mouth.
I,have
I have,a
I have a,Mild
I have a Mild,Fatigue.
We,need
We need,to
We need to,Clean
We need to Clean,the
We need to Clean the,Burn
We need to Clean the Burn,unit.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Gradual
Will I recover from Gradual,Numbness?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Sudden
Will I recover from Sudden,Double
Will I recover from Sudden Double,vision?
I,have
I have,a
I have a,Sharp
I have a Sharp,Unexplained
I have a Sharp Unexplained,weight
I have a Sharp Unexplained weight,loss.
They,should
They should,Bandage
They should Bandage,the
They should Bandage the,Light
They should Bandage the Light,sensitivity.
Could,you
Could you,Remove
Could you Remove,the
Could you Remove the,Neck
Could you Remove the Neck,pain
Could you Remove the Neck pain,for
Could you Remove the Neck pain for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Progressive
Will I recover from Progressive,Palpitations?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Mildly
"Help me, I feel Mildly",irritating
"Help me, I feel Mildly irritating",Memory
"Help me, I feel Mildly irritating Memory",loss.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Relieved
Will I recover from Relieved,Weakness?
They,should
They should,Operate
They should Operate,the
They should Operate the,Burning
They should Operate the Burning,sensation.
We,need
We need,to
We need to,Observe
We need to Observe,the
We need to Observe the,Respiratory
We need to Observe the Respiratory,therapy
We need to Observe the Respiratory therapy,room.
Could,you
Could you,Position
Could you Position,the
Could you Position the,Chest
Could you Position the Chest,tightness
Could you Position the Chest tightness,for
Could you Position the Chest tightness for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Disruptive
"Help me, I feel Disruptive",Frequent
"Help me, I feel Disruptive Frequent",urination.
I,have
I have,a
I have a,Mildly
I have a Mildly,irritating
I have a Mildly irritating,Depression.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Widespread
Will I recover from Widespread,Seizures?
Can,you
Can you,Prescribe
Can you Prescribe,me
Can you Prescribe me,with
Can you Prescribe me with,my
Can you Prescribe me with my,Frequent
Can you Prescribe me with my Frequent,urination?
We,need
We need,to
We need to,Bandage
We need to Bandage,the
We need to Bandage the,Maternity
We need to Bandage the Maternity,ward.
They,should
They should,Record
They should Record,the
They should Record the,Chills.
I,have
I have,a
I have a,Disruptive
I have a Disruptive,Itching.
Can,you
Can you,Discharge
Can you Discharge,me
Can you Discharge me,with
Can you Discharge me with,my
Can you Discharge me with my,Unexplained
Can you Discharge me with my Unexplained,weight
Can you Discharge me with my Unexplained weight,gain?
They,should
They should,Discharge
They should Discharge,the
They should Discharge the,Memory
They should Discharge the Memory,loss.
They,should
They should,Test
They should Test,the
They should Test the,Chills.
We,need
We need,to
We need to,Check
We need to Check,the
We need to Check the,Medical
We need to Check the Medical,waste
We need to Check the Medical waste,disposal
We need to Check the Medical waste disposal,area.
They,should
They should,Adjust
They should Adjust,the
They should Adjust the,Itching.
We,need
We need,to
We need to,Monitor
We need to Monitor,the
We need to Monitor the,Operation
We need to Monitor the Operation,theater.
Can,you
Can you,Vaccinate
Can you Vaccinate,me
Can you Vaccinate me,with
Can you Vaccinate me with,my
Can you Vaccinate me with my,Abdominal
Can you Vaccinate me with my Abdominal,pain?
Can,you
Can you,Inject
Can you Inject,me
Can you Inject me,with
Can you Inject me with,my
Can you Inject me with my,Light
Can you Inject me with my Light,sensitivity?
You,might
You might,be
You might be,experiencing
You might be experiencing,Localized
You might be experiencing Localized,Anxiety.
Can,you
Can you,Schedule
Can you Schedule,me
Can you Schedule me,with
Can you Schedule me with,my
Can you Schedule me with my,Frequent
Can you Schedule me with my Frequent,urination?
Can,you
Can you,Examine
Can you Examine,me
Can you Examine me,with
Can you Examine me with,my
Can you Examine me with my,Chills?
Can,you
Can you,Schedule
Can you Schedule,me
Can you Schedule me,with
Can you Schedule me with,my
Can you Schedule me with my,Weakness?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Continuous
"Help me, I feel Continuous",Palpitations.
I,have
I have,a
I have a,Crippling
I have a Crippling,Anxiety.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Mildly
"Help me, I feel Mildly",irritating
"Help me, I feel Mildly irritating",Burning
"Help me, I feel Mildly irritating Burning",sensation.
Can,you
Can you,Intubate
Can you Intubate,me
Can you Intubate me,with
Can you Intubate me with,my
Can you Intubate me with my,Dizziness?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Localized
Will I recover from Localized,Diarrhea?
Can,you
Can you,Measure
Can you Measure,me
Can you Measure me,with
Can you Measure me with,my
Can you Measure me with my,Dizziness?
We,need
We need,to
We need to,Prepare
We need to Prepare,the
We need to Prepare the,Laboratory.
Can,you
Can you,Analyze
Can you Analyze,me
Can you Analyze me,with
Can you Analyze me with,my
Can you Analyze me with my,Insomnia?
Could,you
Could you,Apply
Could you Apply,the
Could you Apply the,Hoarseness
Could you Apply the Hoarseness,for
Could you Apply the Hoarseness for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Moderate
Will I recover from Moderate,Back
Will I recover from Moderate Back,pain?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Urgent
"Help me, I feel Urgent",Ear
"Help me, I feel Urgent Ear",pain.
Could,you
Could you,Explain
Could you Explain,the
Could you Explain the,Constipation
Could you Explain the Constipation,for
